source,raw_id,true_customer_id
erp,ERP-0023,TRUE-0023
crm,CRM-0023,TRUE-0023
flatfile,FLATFILE-0024,TRUE-0024
erp,ERP-0024,TRUE-0024
partner_api,PARTNER_API-0024,TRUE-0024
partner_api,PARTNER_API-0025,TRUE-0025
erp,ERP-0025,TRUE-0025
flatfile,FLATFILE-0025,TRUE-0025
crm,CRM-0025,TRUE-0025
crm,CRM-0026,TRUE-0026
crm,CRM-0027,TRUE-0027
erp,ERP-0027,TRUE-0027
partner_api,PARTNER_API-0027,TRUE-0027
erp,ERP-0028,TRUE-0028
flatfile,FLATFILE-0028,TRUE-0028
partner_api,PARTNER_API-0028,TRUE-0028
crm,CRM-0029,TRUE-0029
partner_api,PARTNER_API-0029,TRUE-0029
flatfile,FLATFILE-0030,TRUE-0030
partner_api,PARTNER_API-0030,TRUE-0030
crm,CRM-0030,TRUE-0030
erp,ERP-0030,TRUE-0030
flatfile,FLATFILE-0031,TRUE-0031
erp,ERP-0031,TRUE-0031
crm,CRM-0031,TRUE-0031
erp,ERP-0032,TRUE-0032
partner_api,PARTNER_API-0032,TRUE-0032
flatfile,FLATFILE-0032,TRUE-0032
crm,CRM-0032,TRUE-0032
flatfile,FLATFILE-0033,TRUE-0033
crm,CRM-0033,TRUE-0033
partner_api,PARTNER_API-0033,TRUE-0033
erp,ERP-0033,TRUE-0033
flatfile,FLATFILE-0034,TRUE-0034
partner_api,PARTNER_API-0034,TRUE-0034
crm,CRM-0034,TRUE-0034
flatfile,FLATFILE-0035,TRUE-0035
partner_api,PARTNER_API-0036,TRUE-0036
flatfile,FLATFILE-0036,TRUE-0036
partner_api,PARTNER_API-0037,TRUE-0037
erp,ERP-0037,TRUE-0037
flatfile,FLATFILE-0037,TRUE-0037
crm,CRM-0037,TRUE-0037
erp,ERP-0038,TRUE-0038
crm,CRM-0038,TRUE-0038
flatfile,FLATFILE-0039,TRUE-0039
erp,ERP-0039,TRUE-0039
crm,CRM-0039,TRUE-0039
partner_api,PARTNER_API-0039,TRUE-0039
crm,CRM-0040,TRUE-0040
partner_api,PARTNER_API-0040,TRUE-0040
erp,ERP-0040,TRUE-0040
flatfile,FLATFILE-0040,TRUE-0040
crm,CRM-0041,TRUE-0041
partner_api,PARTNER_API-0041,TRUE-0041
crm,CRM-0042,TRUE-0042
flatfile,FLATFILE-0043,TRUE-0043
erp,ERP-0044,TRUE-0044
partner_api,PARTNER_API-0044,TRUE-0044
partner_api,PARTNER_API-0045,TRUE-0045
crm,CRM-0045,TRUE-0045
erp,ERP-0045,TRUE-0045
flatfile,FLATFILE-0045,TRUE-0045
crm,CRM-0046,TRUE-0046
erp,ERP-0046,TRUE-0046
partner_api,PARTNER_API-0046,TRUE-0046
flatfile,FLATFILE-0046,TRUE-0046
erp,ERP-0047,TRUE-0047
flatfile,FLATFILE-0048,TRUE-0048
erp,ERP-0048,TRUE-0048
partner_api,PARTNER_API-0048,TRUE-0048
crm,CRM-0048,TRUE-0048
erp,ERP-0049,TRUE-0049
crm,CRM-0049,TRUE-0049
partner_api,PARTNER_API-0049,TRUE-0049
flatfile,FLATFILE-0049,TRUE-0049
flatfile,FLATFILE-0050,TRUE-0050
partner_api,PARTNER_API-0050,TRUE-0050
crm,CRM-0050,TRUE-0050
erp,ERP-0050,TRUE-0050
erp,ERP-0051,TRUE-0051
partner_api,PARTNER_API-0051,TRUE-0051
flatfile,FLATFILE-0052,TRUE-0052
erp,ERP-0052,TRUE-0052
flatfile,FLATFILE-0053,TRUE-0053
crm,CRM-0054,TRUE-0054
flatfile,FLATFILE-0054,TRUE-0054
partner_api,PARTNER_API-0054,TRUE-0054
crm,CRM-0055,TRUE-0055
erp,ERP-0055,TRUE-0055
flatfile,FLATFILE-0055,TRUE-0055
partner_api,PARTNER_API-0055,TRUE-0055
flatfile,FLATFILE-0056,TRUE-0056
partner_api,PARTNER_API-0057,TRUE-0057
erp,ERP-0057,TRUE-0057
crm,CRM-0058,TRUE-0058
flatfile,FLATFILE-0058,TRUE-0058
erp,ERP-0058,TRUE-0058
partner_api,PARTNER_API-0058,TRUE-0058
erp,ERP-0059,TRUE-0059
crm,CRM-0059,TRUE-0059
partner_api,PARTNER_API-0059,TRUE-0059
flatfile,FLATFILE-0059,TRUE-0059
flatfile,FLATFILE-0060,TRUE-0060
crm,CRM-0060,TRUE-0060
erp,ERP-0061,TRUE-0061
partner_api,PARTNER_API-0061,TRUE-0061
flatfile,FLATFILE-0062,TRUE-0062
erp,ERP-0062,TRUE-0062
partner_api,PARTNER_API-0062,TRUE-0062
crm,CRM-0063,TRUE-0063
partner_api,PARTNER_API-0063,TRUE-0063
erp,ERP-0064,TRUE-0064
partner_api,PARTNER_API-0064,TRUE-0064
crm,CRM-0064,TRUE-0064
flatfile,FLATFILE-0064,TRUE-0064
crm,CRM-0065,TRUE-0065
erp,ERP-0065,TRUE-0065
flatfile,FLATFILE-0066,TRUE-0066
crm,CRM-0066,TRUE-0066
erp,ERP-0066,TRUE-0066
crm,CRM-0067,TRUE-0067
erp,ERP-0067,TRUE-0067
flatfile,FLATFILE-0067,TRUE-0067
partner_api,PARTNER_API-0067,TRUE-0067
flatfile,FLATFILE-0068,TRUE-0068
crm,CRM-0068,TRUE-0068
partner_api,PARTNER_API-0068,TRUE-0068
crm,CRM-0069,TRUE-0069
flatfile,FLATFILE-0070,TRUE-0070
partner_api,PARTNER_API-0070,TRUE-0070
crm,CRM-0070,TRUE-0070
crm,CRM-0071,TRUE-0071
flatfile,FLATFILE-0071,TRUE-0071
erp,ERP-0071,TRUE-0071
partner_api,PARTNER_API-0071,TRUE-0071
flatfile,FLATFILE-0072,TRUE-0072
crm,CRM-0072,TRUE-0072
flatfile,FLATFILE-0073,TRUE-0073
partner_api,PARTNER_API-0073,TRUE-0073
crm,CRM-0073,TRUE-0073
erp,ERP-0073,TRUE-0073
erp,ERP-0074,TRUE-0074
partner_api,PARTNER_API-0074,TRUE-0074
partner_api,PARTNER_API-0075,TRUE-0075
erp,ERP-0075,TRUE-0075
crm,CRM-0075,TRUE-0075
flatfile,FLATFILE-0075,TRUE-0075
crm,CRM-0076,TRUE-0076
erp,ERP-0076,TRUE-0076
flatfile,FLATFILE-0076,TRUE-0076
partner_api,PARTNER_API-0077,TRUE-0077
erp,ERP-0078,TRUE-0078
flatfile,FLATFILE-0078,TRUE-0078
partner_api,PARTNER_API-0078,TRUE-0078
crm,CRM-0078,TRUE-0078
partner_api,PARTNER_API-0079,TRUE-0079
crm,CRM-0079,TRUE-0079
flatfile,FLATFILE-0079,TRUE-0079
erp,ERP-0079,TRUE-0079
erp,ERP-0080,TRUE-0080
crm,CRM-0081,TRUE-0081
flatfile,FLATFILE-0081,TRUE-0081
partner_api,PARTNER_API-0081,TRUE-0081
crm,CRM-0082,TRUE-0082
flatfile,FLATFILE-0082,TRUE-0082
partner_api,PARTNER_API-0082,TRUE-0082
erp,ERP-0082,TRUE-0082
crm,CRM-0083,TRUE-0083
partner_api,PARTNER_API-0084,TRUE-0084
crm,CRM-0084,TRUE-0084
flatfile,FLATFILE-0084,TRUE-0084
partner_api,PARTNER_API-0085,TRUE-0085
flatfile,FLATFILE-0085,TRUE-0085
erp,ERP-0086,TRUE-0086
partner_api,PARTNER_API-0087,TRUE-0087
erp,ERP-0087,TRUE-0087
flatfile,FLATFILE-0087,TRUE-0087
crm,CRM-0087,TRUE-0087
erp,ERP-0088,TRUE-0088
erp,ERP-0089,TRUE-0089
partner_api,PARTNER_API-0089,TRUE-0089
crm,CRM-0089,TRUE-0089
partner_api,PARTNER_API-0090,TRUE-0090
partner_api,PARTNER_API-0091,TRUE-0091
erp,ERP-0091,TRUE-0091
crm,CRM-0091,TRUE-0091
flatfile,FLATFILE-0091,TRUE-0091
erp,ERP-0092,TRUE-0092
flatfile,FLATFILE-0092,TRUE-0092
partner_api,PARTNER_API-0092,TRUE-0092
crm,CRM-0092,TRUE-0092
partner_api,PARTNER_API-0093,TRUE-0093
crm,CRM-0093,TRUE-0093
partner_api,PARTNER_API-0094,TRUE-0094
partner_api,PARTNER_API-0095,TRUE-0095
crm,CRM-0095,TRUE-0095
partner_api,PARTNER_API-0096,TRUE-0096
partner_api,PARTNER_API-0097,TRUE-0097
crm,CRM-0097,TRUE-0097
partner_api,PARTNER_API-0098,TRUE-0098
crm,CRM-0098,TRUE-0098
erp,ERP-0098,TRUE-0098
flatfile,FLATFILE-0098,TRUE-0098
flatfile,FLATFILE-0099,TRUE-0099
crm,CRM-0099,TRUE-0099
flatfile,FLATFILE-0100,TRUE-0100
erp,ERP-0100,TRUE-0100
erp,ERP-0101,TRUE-0101
crm,CRM-0101,TRUE-0101
partner_api,PARTNER_API-0101,TRUE-0101
flatfile,FLATFILE-0101,TRUE-0101
crm,CRM-0102,TRUE-0102
crm,CRM-0103,TRUE-0103
flatfile,FLATFILE-0103,TRUE-0103
erp,ERP-0103,TRUE-0103
partner_api,PARTNER_API-0103,TRUE-0103
partner_api,PARTNER_API-0104,TRUE-0104
erp,ERP-0105,TRUE-0105
flatfile,FLATFILE-0105,TRUE-0105
crm,CRM-0105,TRUE-0105
erp,ERP-0106,TRUE-0106
flatfile,FLATFILE-0106,TRUE-0106
crm,CRM-0106,TRUE-0106
erp,ERP-0107,TRUE-0107
flatfile,FLATFILE-0107,TRUE-0107
partner_api,PARTNER_API-0107,TRUE-0107
crm,CRM-0107,TRUE-0107
erp,ERP-0108,TRUE-0108
flatfile,FLATFILE-0108,TRUE-0108
crm,CRM-0108,TRUE-0108
erp,ERP-0109,TRUE-0109
flatfile,FLATFILE-0110,TRUE-0110
erp,ERP-0110,TRUE-0110
flatfile,FLATFILE-0111,TRUE-0111
crm,CRM-0112,TRUE-0112
flatfile,FLATFILE-0112,TRUE-0112
partner_api,PARTNER_API-0112,TRUE-0112
erp,ERP-0113,TRUE-0113
flatfile,FLATFILE-0114,TRUE-0114
erp,ERP-0114,TRUE-0114
crm,CRM-0114,TRUE-0114
crm,CRM-0115,TRUE-0115
erp,ERP-0115,TRUE-0115
crm,CRM-0116,TRUE-0116
partner_api,PARTNER_API-0117,TRUE-0117
erp,ERP-0117,TRUE-0117
crm,CRM-0118,TRUE-0118
erp,ERP-0119,TRUE-0119
partner_api,PARTNER_API-0119,TRUE-0119
crm,CRM-0119,TRUE-0119
erp,ERP-0120,TRUE-0120
partner_api,PARTNER_API-0120,TRUE-0120
flatfile,FLATFILE-0120,TRUE-0120
flatfile,FLATFILE-0121,TRUE-0121
crm,CRM-0121,TRUE-0121
partner_api,PARTNER_API-0122,TRUE-0122
crm,CRM-0122,TRUE-0122
erp,ERP-0122,TRUE-0122
flatfile,FLATFILE-0123,TRUE-0123
partner_api,PARTNER_API-0123,TRUE-0123
erp,ERP-0123,TRUE-0123
erp,ERP-0124,TRUE-0124
flatfile,FLATFILE-0124,TRUE-0124
partner_api,PARTNER_API-0125,TRUE-0125
crm,CRM-0125,TRUE-0125
flatfile,FLATFILE-0126,TRUE-0126
erp,ERP-0126,TRUE-0126
partner_api,PARTNER_API-0126,TRUE-0126
crm,CRM-0127,TRUE-0127
partner_api,PARTNER_API-0127,TRUE-0127
crm,CRM-0128,TRUE-0128
erp,ERP-0128,TRUE-0128
flatfile,FLATFILE-0128,TRUE-0128
partner_api,PARTNER_API-0128,TRUE-0128
crm,CRM-0129,TRUE-0129
partner_api,PARTNER_API-0129,TRUE-0129
flatfile,FLATFILE-0129,TRUE-0129
erp,ERP-0129,TRUE-0129
crm,CRM-0130,TRUE-0130
erp,ERP-0130,TRUE-0130
flatfile,FLATFILE-0130,TRUE-0130
partner_api,PARTNER_API-0130,TRUE-0130
flatfile,FLATFILE-0131,TRUE-0131
partner_api,PARTNER_API-0132,TRUE-0132
erp,ERP-0132,TRUE-0132
erp,ERP-0133,TRUE-0133
partner_api,PARTNER_API-0133,TRUE-0133
crm,CRM-0133,TRUE-0133
flatfile,FLATFILE-0133,TRUE-0133
partner_api,PARTNER_API-0134,TRUE-0134
erp,ERP-0134,TRUE-0134
crm,CRM-0134,TRUE-0134
flatfile,FLATFILE-0134,TRUE-0134
flatfile,FLATFILE-0135,TRUE-0135
crm,CRM-0135,TRUE-0135
partner_api,PARTNER_API-0135,TRUE-0135
erp,ERP-0135,TRUE-0135
partner_api,PARTNER_API-0136,TRUE-0136
crm,CRM-0136,TRUE-0136
erp,ERP-0136,TRUE-0136
flatfile,FLATFILE-0136,TRUE-0136
erp,ERP-0137,TRUE-0137
crm,CRM-0138,TRUE-0138
partner_api,PARTNER_API-0138,TRUE-0138
erp,ERP-0138,TRUE-0138
flatfile,FLATFILE-0138,TRUE-0138
flatfile,FLATFILE-0139,TRUE-0139
erp,ERP-0139,TRUE-0139
partner_api,PARTNER_API-0139,TRUE-0139
erp,ERP-0140,TRUE-0140
crm,CRM-0140,TRUE-0140
partner_api,PARTNER_API-0141,TRUE-0141
flatfile,FLATFILE-0141,TRUE-0141
erp,ERP-0141,TRUE-0141
crm,CRM-0142,TRUE-0142
flatfile,FLATFILE-0142,TRUE-0142
partner_api,PARTNER_API-0142,TRUE-0142
erp,ERP-0142,TRUE-0142
flatfile,FLATFILE-0143,TRUE-0143
partner_api,PARTNER_API-0143,TRUE-0143
erp,ERP-0143,TRUE-0143
crm,CRM-0143,TRUE-0143
flatfile,FLATFILE-0144,TRUE-0144
partner_api,PARTNER_API-0145,TRUE-0145
partner_api,PARTNER_API-0146,TRUE-0146
erp,ERP-0146,TRUE-0146
flatfile,FLATFILE-0146,TRUE-0146
crm,CRM-0146,TRUE-0146
crm,CRM-0147,TRUE-0147
flatfile,FLATFILE-0148,TRUE-0148
partner_api,PARTNER_API-0148,TRUE-0148
crm,CRM-0148,TRUE-0148
erp,ERP-0149,TRUE-0149
flatfile,FLATFILE-0149,TRUE-0149
partner_api,PARTNER_API-0149,TRUE-0149
crm,CRM-0149,TRUE-0149
flatfile,FLATFILE-0150,TRUE-0150
partner_api,PARTNER_API-0150,TRUE-0150
erp,ERP-0150,TRUE-0150
crm,CRM-0151,TRUE-0151
partner_api,PARTNER_API-0152,TRUE-0152
erp,ERP-0152,TRUE-0152
flatfile,FLATFILE-0153,TRUE-0153
crm,CRM-0153,TRUE-0153
erp,ERP-0154,TRUE-0154
flatfile,FLATFILE-0154,TRUE-0154
crm,CRM-0154,TRUE-0154
erp,ERP-0155,TRUE-0155
erp,ERP-0156,TRUE-0156
flatfile,FLATFILE-0156,TRUE-0156
crm,CRM-0156,TRUE-0156
partner_api,PARTNER_API-0157,TRUE-0157
partner_api,PARTNER_API-0158,TRUE-0158
crm,CRM-0158,TRUE-0158
erp,ERP-0158,TRUE-0158
flatfile,FLATFILE-0158,TRUE-0158
erp,ERP-0159,TRUE-0159
partner_api,PARTNER_API-0159,TRUE-0159
flatfile,FLATFILE-0160,TRUE-0160
flatfile,FLATFILE-0161,TRUE-0161
crm,CRM-0161,TRUE-0161
flatfile,FLATFILE-0162,TRUE-0162
crm,CRM-0162,TRUE-0162
partner_api,PARTNER_API-0162,TRUE-0162
erp,ERP-0162,TRUE-0162
erp,ERP-0163,TRUE-0163
flatfile,FLATFILE-0163,TRUE-0163
partner_api,PARTNER_API-0163,TRUE-0163
partner_api,PARTNER_API-0164,TRUE-0164
erp,ERP-0164,TRUE-0164
flatfile,FLATFILE-0164,TRUE-0164
crm,CRM-0164,TRUE-0164
crm,CRM-0165,TRUE-0165
partner_api,PARTNER_API-0165,TRUE-0165
erp,ERP-0166,TRUE-0166
flatfile,FLATFILE-0166,TRUE-0166
crm,CRM-0167,TRUE-0167
flatfile,FLATFILE-0167,TRUE-0167
erp,ERP-0167,TRUE-0167
partner_api,PARTNER_API-0167,TRUE-0167
crm,CRM-0168,TRUE-0168
partner_api,PARTNER_API-0168,TRUE-0168
flatfile,FLATFILE-0168,TRUE-0168
erp,ERP-0168,TRUE-0168
flatfile,FLATFILE-0169,TRUE-0169
partner_api,PARTNER_API-0169,TRUE-0169
crm,CRM-0169,TRUE-0169
erp,ERP-0169,TRUE-0169
erp,ERP-0170,TRUE-0170
partner_api,PARTNER_API-0170,TRUE-0170
crm,CRM-0170,TRUE-0170
flatfile,FLATFILE-0170,TRUE-0170
erp,ERP-0171,TRUE-0171
flatfile,FLATFILE-0171,TRUE-0171
flatfile,FLATFILE-0172,TRUE-0172
partner_api,PARTNER_API-0173,TRUE-0173
flatfile,FLATFILE-0173,TRUE-0173
crm,CRM-0173,TRUE-0173
crm,CRM-0174,TRUE-0174
flatfile,FLATFILE-0174,TRUE-0174
erp,ERP-0174,TRUE-0174
partner_api,PARTNER_API-0175,TRUE-0175
erp,ERP-0175,TRUE-0175
crm,CRM-0175,TRUE-0175
flatfile,FLATFILE-0176,TRUE-0176
crm,CRM-0176,TRUE-0176
crm,CRM-0177,TRUE-0177
partner_api,PARTNER_API-0177,TRUE-0177
partner_api,PARTNER_API-0178,TRUE-0178
flatfile,FLATFILE-0178,TRUE-0178
erp,ERP-0178,TRUE-0178
partner_api,PARTNER_API-0179,TRUE-0179
flatfile,FLATFILE-0179,TRUE-0179
erp,ERP-0179,TRUE-0179
crm,CRM-0180,TRUE-0180
erp,ERP-0181,TRUE-0181
crm,CRM-0182,TRUE-0182
flatfile,FLATFILE-0182,TRUE-0182
flatfile,FLATFILE-0183,TRUE-0183
crm,CRM-0183,TRUE-0183
erp,ERP-0183,TRUE-0183
partner_api,PARTNER_API-0184,TRUE-0184
erp,ERP-0184,TRUE-0184
crm,CRM-0184,TRUE-0184
flatfile,FLATFILE-0184,TRUE-0184
partner_api,PARTNER_API-0185,TRUE-0185
crm,CRM-0186,TRUE-0186
erp,ERP-0186,TRUE-0186
partner_api,PARTNER_API-0186,TRUE-0186
flatfile,FLATFILE-0186,TRUE-0186
flatfile,FLATFILE-0187,TRUE-0187
erp,ERP-0187,TRUE-0187
partner_api,PARTNER_API-0187,TRUE-0187
crm,CRM-0187,TRUE-0187
flatfile,FLATFILE-0188,TRUE-0188
erp,ERP-0188,TRUE-0188
flatfile,FLATFILE-0189,TRUE-0189
crm,CRM-0189,TRUE-0189
erp,ERP-0189,TRUE-0189
crm,CRM-0190,TRUE-0190
erp,ERP-0190,TRUE-0190
flatfile,FLATFILE-0191,TRUE-0191
erp,ERP-0192,TRUE-0192
partner_api,PARTNER_API-0192,TRUE-0192
partner_api,PARTNER_API-0193,TRUE-0193
flatfile,FLATFILE-0193,TRUE-0193
flatfile,FLATFILE-0194,TRUE-0194
crm,CRM-0194,TRUE-0194
partner_api,PARTNER_API-0194,TRUE-0194
crm,CRM-0195,TRUE-0195
partner_api,PARTNER_API-0195,TRUE-0195
erp,ERP-0196,TRUE-0196
partner_api,PARTNER_API-0196,TRUE-0196
crm,CRM-0196,TRUE-0196
flatfile,FLATFILE-0196,TRUE-0196
erp,ERP-0197,TRUE-0197
flatfile,FLATFILE-0197,TRUE-0197
crm,CRM-0197,TRUE-0197
partner_api,PARTNER_API-0197,TRUE-0197
erp,ERP-0198,TRUE-0198
partner_api,PARTNER_API-0198,TRUE-0198
flatfile,FLATFILE-0198,TRUE-0198
crm,CRM-0198,TRUE-0198
partner_api,PARTNER_API-0199,TRUE-0199
